Column1,Community Name,Community ID,Aliases,Local Government,Main Language,Land Council,Other Languages,Electorate,Population,Longitude,Latitude,Location
477,Gurkawuy - Family Outstation,516,"Gurkhawuy, Gurrkuwuy No.2 and Trial Bay",East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,6,136.504,-12.976,147 km FROM YIRRKALA
297,Gurrgurr - Family Outstation,331,Gurrhgurr and Table Hill,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,134.009,-12.206,"Table Hill  outstation, also known as Gurr Gurr is located approx 130km east of Oenpelli in Arnhemland. It is managed by Demed at Oenpelli., 135 km EAST OF OENPELLI"
702,Gurrumuru - Minor,517,Gurrumurru,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,17,136.232,-12.592,153 km FROM YIRRKALA
751,Gutjangan - Family Outstation,804,Bremer Island North,East Arnhem,Not recorded,Northern Land Council,Not recorded,Mulka,23,136.809,-12.084,N/A
42,Haasts Bluff - Major,41,Ikuntji and Kunparrka,Macdonnell,Luritja/Pintupi,Central Land Council,Not recorded,Gwoja,162,131.881,-23.447,"Haasts Bluff is located west of Alice Springs on the Haasts Bluff Aboriginal Land Trust  amongst the West MacDonnell Ranges. To the north is Ulampawarru and Anyali (Mt Edward and Mt William), and to the south is the stunning Mereenie Bluff."
92,Halfway Camp - Family Outstation,845,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,134.363,-25.695,"1:250,000 TOPOGRAPHICAL MAP REF SG53-6 FINKE.

23.5 KMS SW OF FINKE ALONG THE FINKE/KULGERA ROAD, THENCE 3 KMS S OF ROAD., 408 KMS SOUTH OF ASP VIA STUART HIGHWAY."
221,Hatches Creek - Family Outstation,903,,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,25,135.213,-20.846,"South east of Tennant Creek in Davenport ranges can be accessed via Epenarra Station or turn off north of Barrow Creek, 272 kilometres south east of Tennant Creek"
44,Hawk Dreaming - Family Outstation,1028,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,132.939,-12.371,
199,Hermannsburg - Major,43,Ntaria,Macdonnell,Western Arrernte,Central Land Council,Not recorded,Gwoja,711,132.779,-23.943,Hermannsburg is located west of Alice Springs on the Ntaria Aboriginal Land Trust just north of the Finke George National Park and on the banks of the Finke River
93,Hingstons Place - Family Outstation,973,Crow Downs,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,7,134.197,-19.618,"4KM NORTH OF TENNANT CREEK, turn off near Speedway.  On old Highway."
596,Hodgson River Station - Minor,600,Station Homestead,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.096,-15.575,
194,Hoppys Camp - Town Camp,675,"Alice Springs Town Camp, Armitjira Camp, Hoppy's Camp, Lhenpa-Artne, Lhenpa-Artneta and Ntalka Ulpaya",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,60,133.877,-23.684,
646,Humpty Doo - Family Outstation,334,"Koolpinyah, Limilngan and Wariuk Assoc.",Litchfield,Not recorded,Northern Land Council,Not recorded,Goyder,5,131.261,-12.631,40 km FROM DARWIN GPO
401,Hunters Camp - Family Outstation,800,Kurrajong Flats,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,132.829,-12.65,"Hunter Camp is located approx 2km west of Jabiru.  The phone number is 89792529., 2km FROM JABIRU."
667,Ijarra - Family Outstation,813,"Crocodile Creek, Ijarri and Tawallah",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,,136.005,-16.215,
244,Ileparratye - Family Outstation,1005,Illapareye and Woods Camp,Central Desert,Not recorded,Central Land Council,Not recorded,Barkly,9,133.429,-22.021,"POSITION BY ESTIMATION OFF A 1:2500,000 MAP SHEET IS 12.5 KM NORTH ALONG STUART HWY FROM TI TREE
Located on NT POR 3636 Ahakeye Aboriginal Land Trust.
Central Land Council and in Central Remote Region (Papunya)"
310,Iljitjarri - Family Outstation,24990,Kurrku,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,132.492,-24.534,
469,Ilkarralalama - Family Outstation,45,Ilkarilalama,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.465,-23.965,"55KMS WEST OF H'BURG.***'92 ATSIC NEEDS, 185KMS VIA H'BURG"
616,Illeuwurru - Family Outstation,737,Illuraharra,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.394,-21.609,55km S/E Tara Community
738,Ilperle - Family Outstation,709,"Dead Horse Soak, Ilparle and Jinka",Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,5,135.716,-22.927,
645,Ilperle-Tyathe - Town Camp,48,"Llbili Tjatja, Motor Registry, Walpiri and Warlpiri Camp",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,40,133.861,-23.666,
215,Ilpeye Ilpeye Estate - Town Camp,676,"Alice Springs Town Camp, Golders Camp, Ilpeye Ilpeye, Ilpeye-Ilpeye, Ilpiye Ilpiye and Ilpiye-Ilpiye",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,60,133.907,-23.7,
668,Ilpili - Family Outstation,49,"Ilbpilla, Illpilla, Illpilli and Ilpilly",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,130.36,-23.324,"165KMS WEST OF MT LIEBIG ON KINTORE ROAD, 243 KMS WEST PAPUNYA"
456,Ilpurla - Family Outstation,1018,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,12,132.714,-24.315,"Localed within NT Por 4392 - Ilpurla Aboriginal Corporation
"
422,Iluwurru - Family Outstation,904,Alexandria,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,136.65,-19.032,"Along Barkly Highway, turn off either near Soudan or Alexandria . Community to the east just before the station
"
136,Ilyiperenye - Town Camp,50,"Alice Springs Town Camp, Ilperentye, Ilyperenye and Old Timers Camp",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,40,133.871,-23.744,
415,Imangara - Minor,250,"Imangara Mungarai, Imangarra, Murray Downs and Murry Downs",Barkly,Alyawarr,Central Land Council,Not recorded,Barkly,81,134.681,-21.05,Imangara is located south east of Tennant Creek on a Community Living Area within the Murray Downs Pastoral Property.
739,Imanpa - Major,51,Mt Ebenezer,Macdonnell,Pitjantjatjara,Central Land Council,Southern Luritja,Gwoja,177,132.57,-25.131,Imanpa is a Community Living Area south west of Alice Springs within the Mt Ebenezer Pastoral Property.
512,Impadna - Family Outstation,20926,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,133.569,-25.155,
190,Imperrenth - Family Outstation,961,Elkedra,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,134.969,-21.211,"Imperrenth is located approximately 98 kilometres east south from the Stuart Highway, 
 Imperreth is appoximately situated 70 kilometres from Ali Curung Community - turn off to Murray Downs - off Amaroo Rd.   (about 245 kilometres from Tennant Creek)."
465,Importna - Family Outstation,52,"Impotna, Namatjira's Camp and Namatyiras Cottage",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.743,-23.94,"5KMS WEST OF H'BURG.*** '92 ATSIC NEEDS, 140KMS VIA HERMANNSBURG"
523,Inarlenge - Town Camp,90,Alice Springs Town Camp and Little Sisters,Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,64,133.859,-23.729,
314,Inbina Atwatye - Family Outstation,932,"Twenpe(B), Tywenpe (B) and Tywenpe(B)",Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,10,133.713,-23.741,21 km by road from Alice Springs
428,Indaringinya - Family Outstation,15,"Andarininya, Antarrenge, Antarrengeny and Antarringinya",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,30,134.72,-21.677,"021 N53K0470987 E UTM7602697, 320km FROM A/S"
693,Ininti - Family Outstation,54,Red Bank Bore and Redbank,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.152,-23.168,"35KMS WEST OF KINTORE           '92 ATSI, 535KMS WEST OF A/S VIA PAPUNYA"
88,Injilatparri - Family Outstation,336,"Injalaparra, Injalatparri and South Goulburn",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,133.414,-11.611,9 kms FROM WARRUWI.
216,Injirramurri - Family Outstation,55,Yinjirmardi and Yintjirrimardi,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,131.129,-22.465,OUTSTATION OF YUENDUMU
95,Injulkama - Family Outstation,8,Amburla,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,133.107,-23.076,
112,Inkawenyerre - Family Outstation,726,Angawangere and Mortons,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,46,134.847,-21.82,"000 N53K0484048  E UTM 7586861, 305 kms FROM A/S"
478,Inkwelaye - Family Outstation,82,"Ingkwelaye, Kurrajong Bore, Ngkulaya and Ngkwelay",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,30,134.832,-22.08,"021 N 53K0482427  E UTM 7558166, 262KMS VIA SANDOVER H'WAY
5KMS EAST OF H'WAY"
10,Intjartnama - Family Outstation,56,Cook's Outstation and Intjarrtnama,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,14,132.921,-24.063,"30KMS EAST OF H'BURG.*** '92 ATSIC NEEDS, 165KMS VIA H'BURG"
387,Inyilingi - Family Outstation,59,"Aniltjiy, Inyalinga, Inyilingie and Inyilingki",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,131.425,-23.25,"21KMS EAST OF Mt LIEBIG           '92 AT, 288kms via PAPUNYA"
96,Ipalala - Family Outstation,771,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,6,132.678,-23.926,"15KMS WEST OF H'BURG.*** '92 ATSIC NEEDS, 150KMS VIA H'BURG"
86,Ipolera - Family Outstation,60,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.374,-23.989,"65KMS WEST OF H'BURG           '92 ATSIC, 200KMS VIA H'BURG"
760,Irgul Point - Family Outstation,978,Urgul,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,6,132.529,-11.342,Turn off to the outstation is 65 km N of Murganella.
602,Irklancha Atwacha - Town Camp,1025,Alice Springs Town Camp,Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,,133.905,-23.694,
703,Iron Stone - Family Outstation,826,"Ironstone, Wagait and White Eagle",Un-Incorporated (cox-Daly),Not recorded,Northern Land Council,Not recorded,Daly,,130.436,-12.895,
83,Irrerlirre - Family Outstation,703,"Irrerlirre No5, Macdonald Downs, Mount Swan and No 5",Central Desert,Not recorded,Central Land Council,Not recorded,Namatjira,35,135.135,-22.846,"Road access is via the Stuart Hwy, the Plenty Highway and then 11km of dirt track., Irrerlirri is loctaed 250km northeast of Alice Springs, approx 180km east of the Stuart Hwy."
139,Irriltyere (a) - Family Outstation,921,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,7,133.695,-23.751,"One of number of Outstations on Iwupataka Land Trust, 23km by road from Alice Springs"
94,Irriltyere (b) - Family Outstation,922,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,8,133.686,-23.761,24km by road from Alice Springs
213,Irrmarne - Family Outstation,853,"Ermarne, Irrimarne and Oorratippa",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,136.395,-21.654,"000 N53K 0791723  E UTM 7643234, 400kms VIA SANDOVER H'WAY
SITED 1km SOUTH OF H'WAY"
745,Irrowa - Family Outstation,24989,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.331,-24.625,
228,Irrultja - Minor,63,Irrwelty and Ittweltye,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,45,135.111,-21.98,"390 N 53k0511249  E UTM 7569084, 330KMS VIA SANDOVER H'WAY
30KMS SOUTH OF H'WAY"
546,Itchy Koo Park - Family Outstation,935,Twenpe (E) and Tywenpe (E),Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,36,133.658,-23.767,26 km by road from Alice Springs
120,Iteyepintye - Family Outstation,923,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,21,133.6,-23.765,Main part of community 33 km from Alice Springs
191,Itperlyenge - Family Outstation,924,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,11,133.611,-23.764,33 km from Alice Springs
714,Itwiyethwenge - Town Camp,64,"Alice Springs Town Camp, Basso's Farm and Bazzo's Farm",Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,12,133.872,-23.664,
390,Iwupataka - Minor,65,Jay Creek,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,133.503,-23.791,43KMS WEST OF A/S
708,Iylentye - Family Outstation,727,"Atite, Iyiyintja, Mosquito Bore and Pmara Llintja",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,36,134.727,-21.987,"745  N 53K0471574  E UTM7568488, 270kms VIA SANDOVER H'WAY
10kms WEST OF H'WAY."
21,Jabiru - Village,13836,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,132.834,-12.675,The Town is located 250 km from Darwin by sealed road east of Darwin in Kakadu National Park.
711,Jangirulu - Family Outstation,704,"Jangirurlu, Janguluri Jangirurly and Powell Creek",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,133.611,-18.126,180km N/W from Tennant Creek
644,Jarra Jarra - Family Outstation,234,,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,133.221,-20.848,"170kms s/w of Tennant Creek, turn off on highway opposit Ali Curung turnoff (over the railway line).  Very sandy - seek advice from Ali Curung before going.  Accessed also via Wilowra which is a much better road"
133,Jarramagorndarra - Family Outstation,966,Jarramongorndarra,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,,134.653,-12.291,8KMS FROM JI-BALBAL
291,Jemelke - Family Outstation,824,Barrow Creek and Barrow Creek Camp,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,8,133.875,-21.534,"Located about 1km southwest of Barrow Creek Hotel, adjacent to Stuart Highway 4/11/2005 Cmty re-activated, 3 houses being built, name changed from Barrow Ck to Jemelke
Yapakurlangu"
309,Ji-Balbal - Family Outstation,338,Bamboo Creek and Jibalbal,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,12,134.62,-12.298,65 km S/W OF MANINGRIDA
104,Ji-Bena - Family Outstation,311,Djebenna,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,29,134.526,-12.144,"Djebena also known as Djebenna and Ji-Bena is located 44km by road south east of Maningrida. Driving time to Maningrida is approx 40 minutes and road access is posssible all year., 44 km S/E OF MANINGRIDA"
446,Ji-Malawa - Family Outstation,793,"Djimalawa, Ji-Malowa and Jimalawa",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,30,134.673,-12.122,115 km S/E OF MANINGRIDA
257,Ji-Marda - Family Outstation,340,Djimarda and Jimarda,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,50,134.615,-12.056,"Ji Marda community is located approx 130km by road east of Maningrida adjacent to the  Blyth River. Road access from Maningrida is only possible during the Dry season when it is a 3 hour drive from Maningrida., 125 km EAST OF MANINGRIDA"
6,Jilkminggan - Minor,593,"Djembere, Djilkminggan, Duck Creek and Jilkminggal",Roper Gulf,Eastside Kriol,Northern Land Council,Not recorded,Arnhem,354,133.3,-14.953,Jilkminggan is located south east of Katherine near Elsey National Park on the Mangarrayi Aboriginal Land Trust.
460,Jilundarina - Family Outstation,261,"Jilindarina, Jurlindarri, Seigal Creek, Siegal Creek and Siegel Creek",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,137.577,-17.606,
688,Jimilaya - Family Outstation,989,Black Craggy Island,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,,136.675,-15.609,"On Black Craggy Island, Sir Edward Pellew Island Group
Is within NT POR 2149"
689,Jingaloo - Family Outstation,235,Beetaloo,Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,,133.614,-17.113,51km north & 18km east of Stuart Highway
209,Jiwaranpa - Family Outstation,646,"Jiwan, Jwarnpa, Kamara, Kamira and Talbot Well",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,129.927,-19.555,
692,Jodetluk - Family Outstation,598,"Gorge Camp, Katherine Town Camp and Maude Creek Camp",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Katherine,22,132.433,-14.36,"Road access is via the Katherine Gorge Road and possible most of the year. Jodetluk is connected to the Katherine power supply and electricity is reticulated to all dwellings., Jodetluk is located approx 25km by road northeast of Katherine on the Gorge Road."
382,Jomet (urpalarwn) - Family Outstation,710,"Birdum, Gorrie, Jomet, No 1 Bore, Urpalarwn, Wubalawan and Wublawan",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,133.111,-15.421,
565,Jowar - Family Outstation,602,"Joyar, Juyar and Roper Bar",Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,,134.429,-14.727,43 km W. NGUKURR
580,Jungarrayi Warrnu - Family Outstation,695,"Jungarrayiwarnu, New Haven Yaribilangu and Yaripilangu",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,,131.431,-22.686,370KMS VIA YUENDUMU
517,Junkaji - Family Outstation,734,"Greenwood, Jungkagu and Jungkaji",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,134.141,-20.447,101Kms S/W OF TENNANT CRK
280,Kabalyarra - Family Outstation,794,,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,134.213,-12.069,
648,Kabulwarnamyo - Family Outstation,1007,Norhni,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,133.845,-12.765,"575 Townsite of Gunbalanya
2/10/2002 advice received from Bawinanga as to location"
754,Kakodbabuldi - Family Outstation,326,Gugodbabuldi and Kukotbubuldi,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,134.158,-12.408,"Gugodbabuldi is located 63km by road south east of Maningrida adjacent to the Mann River., 63km S/E OF MANINGRIDA"
450,Kalinjarri - Family Outstation,736,"Gorrie Bore, Gorry's Bore, Kalinjarra and Kalinymarra",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,10,134.366,-20.398,105km s/s/e Tennant Crk.  Turn north off KURUNDI Road or short cut just past  Mungkarta (check road at Mungkarta)
195,Kalkarindji - Major,603,Kalkaringi and Wave Hill,Victoria Daly,Gurindji / Kriol,Central Land Council,Not recorded,Gwoja,392,130.832,-17.447,Kalkarindji is located south west of Katherine near the boarder of Wave Hill Pastoral Property and Daguragu community.
264,Kalpitapta - Family Outstation,947,Kalpitapita,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,44,135.354,-20.899,"23 KMS SOUTH EAST OF BULL CREEK BORE or CAN BE ACCESSED THROUGH CANTEEN CREEK.  LOCATED NEAR LARGE PERMENANT WATERHOLE, 270 KMS FROM TENNANT CREEK"
149,Kaltukatjara - Major,66,Docker River and Kalktukatjara,Macdonnell,Pitjantjatjara,Central Land Council,Ngaatjatjara,Gwoja,463,129.079,-24.876,"Kaltukatjara is located in the Petermann Ranges in the far south western corner of the Northern Territory, 7 kms east of the Western Australian border and part of the Petermann Aboriginal Trust."
728,Kalumbulani - Family Outstation,941,"Camfield, Kalamanbulani, Kulumanbulani and Kulumbulani",Victoria Daly,Not recorded,Northern Land Council,Not recorded,Gwoja,,131.219,-16.877,"Kulumbulani, also known as Camfield is located approx 106km by bush track south of Yarralin. Alternatively, it is 260km away using main roads. It is managed by Walangeri Ngumpinku CGC at Yarralin and was surveyed for the report on 28 July 1998., Main road access is via the Top Springs Road then the Buchanan Hwy until the Camfield turnoff. Alternative access through the Camfield turnoff. Alternative access through the Camfield and VRD Pastoral Leases is possible only during the Dry season."
367,Kalumpurlpa - Family Outstation,236,"Akulumpulpa, Blue Bush Bore, Kalampurlpa, Kalumparlpa, Kalumpulpa and Kulumpurlpa",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,133.918,-19.004,85km from TC off Warrego road to Bluebush then another 20km.
425,Kangaroo Island - Family Outstation,237,Looganwarra and Yameeri,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,10,136.54,-15.888,N/A
518,Kapalga - Family Outstation,980,Naramu,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,15,132.371,-12.699,
743,Kaporilya - Family Outstation,67,"Kaporilja, Kaporilya Springs and Kaprilya",Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.72,-23.94,"15KMS WEST OF H'BURG. *** '92 ATSIC NEED, 150KMS VIA H'BURG"
514,Kargaru - Town Camp,238,"East Side Camp, Kargaru Camp, Tennant Creek Town Camp, Wartijilpungara and Wartilpungara",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,57,134.198,-19.659,TOWN OF TENNANT CREEK.
605,Karnte - Town Camp,69,Alice Springs Town Camp,Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,114,133.865,-23.764,
612,Karrinyarra - Family Outstation,116,"Central Mount Wedge, Karriyarra, Mount Wedge and Mount Wedge Station",Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,11,131.879,-22.663,"80km's north of Papunya, 61km's south of Yuendumu and 320km's from Alice Springs via Papunya."
333,Katherine - Town,14071,,Katherine,Not recorded,Northern Land Council,Not recorded,Katherine,,132.267,-14.467,The Town is located 270km SE of Darwin.
289,Katjutari - Family Outstation,870,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.005,-23.741,235K WEST VIA H'BURG
159,Kelerrk - Family Outstation,883,,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,5,130.326,-13.958,
505,Kewulyi - Family Outstation,1017,Roper Valley Homestead,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Arnhem,16,134.009,-14.927,Kewulyi Abor. Land Trust - NT Por 4777
196,Kiana - Family Outstation,722,,Roper Gulf,Not recorded,Northern Land Council,Not recorded,Barkly,18,136.184,-17.242,"Situated on NT Portion 5768 on Kiana Station (NT Por. 1164) adjacent to Kiana Homestead. Carpenteria Hwy, South from Borroloola then 65 km unsealed road.

Cissy & Bill Bright - Station Owners. Phone - 08 8975 9909.  Fax- 08 8975 9949"
265,Kintore - Major,72,"Walangkura, Walangura and Walungurru",Macdonnell,Luritja/Pintupi,Central Land Council,Not recorded,Gwoja,482,129.387,-23.276,Kintore is located west of Alice Springs. It is nestled at the base of culturally important hills known as Pulikatjara ('two hills') near the Western Australia Border and part of the Haasts Bluff Aboriginal Land Trust.
736,Knuckey Lagoon Indigenous Village - Town Camp,344,"11 Mile, Eleven Mile, Knuckey Lagoon Community and Knuckey Lagoon Town Camp",Litchfield,Not recorded,Northern Land Council,Not recorded,Nelson,64,130.937,-12.437,"HUNDRED OF BAGOT., 10 km FROM DARWIN GPO"
1,Kolorbidahdah - Family Outstation,345,Korlobirrahda,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,14,134.325,-12.613,80 km SOUTH OF MANINGRIDA
296,Kubuyirr - Family Outstation,912,,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,,129.785,-14.122,"Approx. 50 km east of Port Keats
G.P.S coordinates are 14 deg 18' 15"" S & 129 deg 24' 33"" E, 450km from Darwin"
419,Kudantiga - Family Outstation,936,Kurantika,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,,129.429,-14.429,"Approx. 25 km south of Port Keats
G.P.S coordinates are 14 deg 25' 45"" S & 129 deg 25' 45""E, 425 km from Darwin"
641,Kulaluk - Town Camp,347,"Gwalwa Daraniei Assoc, Gwalwa Daraniki Assoc and Minmirama",Darwin,Not recorded,Northern Land Council,Not recorded,Nightcliff,52,130.849,-12.393,"Progess Drive Nightcliff 				City of Darwin	"
579,Kulang - Family Outstation,747,Kulail,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.006,-24.716,695KMS FROM A/S VIA DOCKER RVR
337,Kulgera - Village,14240,,Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,,133.3,-25.841,
600,Kulpitharra - Family Outstation,76,Kulpitara and Kulpitarra,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,5,132.003,-23.74,"100KMS WEST OF H'BURG.*** '92 ATSIC NEED, 235KMS VIA H'BURG"
608,Kultchill - Family Outstation,351,Kulthil and Kutchill,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,,129.574,-14.426,"Approx. 25 km south of Port Keats.
G.P.S coordinates are 14deg 25' 52"" S and 129 deg 34' 31"" E, 12 km SOUTH  PT. KEATS"
720,Kumunu - Family Outstation,1000,Kunumu,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,133.639,-18.764,"Located 116km NW of Tennant Creek, W of Banka Banka Stn, 5km E of railway."
495,Kumurrulu - Family Outstation,967,Kumurulu,West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,10,134.07,-12.272,
723,Kunapula - Family Outstation,77,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.234,-25.157,715KMS FROM A/S VIA DOCKER RVR
281,Kunayungku - Family Outstation,239,"Kunyingu, Pararingi, Pawarinji and Puwarin",Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,133.725,-19.742,50 km S/E from Tennant Crk
448,Kungarrewarl - Family Outstation,391,"Clancy's Camp, Djayhgurrnga, Namarring Karraji, Namarringkarrayi and Oenpelli Camp",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,133.056,-12.343,2KM SOUTH OF OENPELLI
491,Kungkayunti - Family Outstation,78,Browns Bore and Kungkiyunti,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,131.244,-23.626,"70KMS WEST OF HAASTS BLUFF           '92, 310KMS VIA HAASTS BLUFF"
759,Kunoth - Town Camp,1029,The Village,Alice Springs,Not recorded,Central Land Council,Not recorded,Namatjira,16,133.88,-23.691,
116,Kurinelli - Family Outstation,14262,,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,,135.04,-20.611,
463,Kurippi - Family Outstation,110,Jonesy's Camp and Mount Denison,Central Desert,Not recorded,Central Land Council,Not recorded,Gwoja,8,132.053,-22.142,"Access to the Community is via a 3km track off the Mt Denison Road, 3km prior to Cockatoo Creek crossing"
316,Kurkutjara - Family Outstation,81,,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,,129.411,-25.942,
768,Kurntapurra - Family Outstation,905,"Frewena, Kuntapurla, Kurnturlpara, No 6 Bore and No. 6 Bore",Barkly,Not recorded,Northern Land Council,Not recorded,Barkly,24,135.398,-19.392,"TENNANT CREEK REGION
Along the Barkly  Highway - turn north at Freweena about 5km from Highway"
323,Kurraya - Family Outstation,822,Goose River,Barkly,Not recorded,Central Land Council,Not recorded,Barkly,5,134.475,-19.766,"34 kilometres east- south-east of Tennant Ck., past Nobles Nob mine"
166,Kurrurldul - Family Outstation,753,"Kurrurloul, Kuruldu and Kuruldul",West Arnhem,Not recorded,Northern Land Council,Not recorded,Arafura,5,134.24,-12.488,74 km S/W OF MANINGRIDA.
62,Kuwuma - Family Outstation,776,"Djudian, Djudin, Kuama and Kwarma",West Daly,Not recorded,Northern Land Council,Not recorded,Daly,5,130.37,-13.598,42km OFF WOODY.ROAD
734,Kuy - Family Outstation,718,,West Daly,Not recorded,Northern Land Council,Not recorded,Daly,5,129.598,-14.035,"Kuy is a community located approximately 50 km by road north of Port Keats.  Its G.P.S coordinates are 14 deg 02' 08"" S and 129 deg 35' 52"" E, 55 km N.W. PORT KEATS"
451,Kwala - Family Outstation,83,Ellery Creek,Macdonnell,Not recorded,Central Land Council,Not recorded,Gwoja,8,132.89,-23.927,"2KMS NORTH OF ROAD AT ELLERY CREEK, 120KMS SOUTH WEST OF A/S VIA H'B"
235,Kwale Kwale - Family Outstation,925,Payeperrentye (A),Macdonnell,Not recorded,Central Land Council,Not recorded,Namatjira,25,133.575,-23.77,The community is 36 km by road from Alice Springs
